customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,SeniorCitizenLabel,TenureGroup,MonthlyChargeGroup,PredictedChurn,ChurnProbability,RiskLevel,RecommendedAction
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,No,25-48 Months,Very High,1,0.7037517636661145,High Risk,Offer discounted annual contract
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,No,61-72 Months,Very High,0,0.10023450758159114,Low Risk,Maintain regular engagement
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,No,49-60 Months,Low,0,0.029775300857726388,Low Risk,Maintain regular engagement
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,No,61-72 Months,Very High,0,0.12211622191369839,Low Risk,Maintain regular engagement
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,No,0-12 Months,Medium,0,0.37095282798600987,Medium Risk,Send personalized loyalty offer
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,No,13-24 Months,High,1,0.7805257958889547,High Risk,Offer discounted annual contract
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,Yes,0-12 Months,Medium,1,0.8891114503792754,High Risk,Offer discounted annual contract
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,No,0-12 Months,Low,0,0.1470724374501006,Low Risk,Maintain regular engagement
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,No,0-12 Months,Low,0,0.4120404496519499,Medium Risk,Send personalized loyalty offer
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,No,49-60 Months,Medium,0,0.0434187065768285,Low Risk,Maintain regular engagement
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,No,49-60 Months,Medium,0,0.0776209670040725,Low Risk,Maintain regular engagement
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,No,25-48 Months,Medium,0,0.2572597405775572,Low Risk,Maintain regular engagement
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,No,25-48 Months,High,1,0.7192097674107096,High Risk,Offer discounted annual contract
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,No,0-12 Months,Low,1,0.7208120827434065,High Risk,Offer discounted annual contract
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,No,61-72 Months,High,0,0.0446998818763429,Low Risk,Maintain regular engagement
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,No,13-24 Months,Medium,1,0.5954214912799114,Medium Risk,Send personalized loyalty offer
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,Yes,61-72 Months,High,0,0.08219960911286103,Low Risk,Maintain regular engagement
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,Yes,0-12 Months,High,1,0.8818328331459131,High Risk,Offer discounted annual contract
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,No,25-48 Months,Medium,0,0.07668370900896981,Low Risk,Maintain regular engagement
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,No,0-12 Months,Low,0,0.39783519468087575,Medium Risk,Send personalized loyalty offer
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,Yes,0-12 Months,Medium,1,0.6416789003568035,High Risk,Offer discounted annual contract
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,No,61-72 Months,High,0,0.05585412961294711,Low Risk,Maintain regular engagement
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,No,0-12 Months,Medium,1,0.8395229175921374,High Risk,Offer discounted annual contract
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,No,25-48 Months,High,1,0.5227864644867047,Medium Risk,Send personalized loyalty offer
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,No,25-48 Months,Very High,1,0.8175445035980365,High Risk,Offer discounted annual contract
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,No,0-12 Months,High,1,0.8680816574793297,High Risk,Offer discounted annual contract
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,No,0-12 Months,Medium,0,0.2402361581319317,Low Risk,Maintain regular engagement
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,No,61-72 Months,Medium,0,0.033233062020486086,Low Risk,Maintain regular engagement
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,No,13-24 Months,Low,0,0.10611176675837626,Low Risk,Maintain regular engagement
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,No,61-72 Months,High,0,0.04083997903422437,Low Risk,Maintain regular engagement
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,No,13-24 Months,High,1,0.5269945963844549,Medium Risk,Send personalized loyalty offer
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,No,49-60 Months,High,1,0.7015837686892723,High Risk,Offer discounted annual contract
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,No,0-12 Months,Medium,1,0.5566681408921907,Medium Risk,Send personalized loyalty offer
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,No,0-12 Months,High,1,0.8786497482197323,High Risk,Offer discounted annual contract
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,No,49-60 Months,High,0,0.08569853415038076,Low Risk,Maintain regular engagement
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,No,61-72 Months,Medium,0,0.01961131088152393,Low Risk,Maintain regular engagement
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,Yes,25-48 Months,High,1,0.7606942057040554,High Risk,Offer discounted annual contract
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,No,13-24 Months,High,1,0.7198111091011355,High Risk,Offer discounted annual contract
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,Yes,25-48 Months,Medium,0,0.4490560386008437,Medium Risk,Send personalized loyalty offer
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,Yes,0-12 Months,High,1,0.8132318211657046,High Risk,Offer discounted annual contract
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,Yes,49-60 Months,High,0,0.058982690836918206,Low Risk,Maintain regular engagement
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,Yes,13-24 Months,High,1,0.9054238127481529,High Risk,Offer discounted annual contract
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,No,61-72 Months,High,0,0.3039429365418334,Medium Risk,Send personalized loyalty offer
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,Yes,61-72 Months,Very High,0,0.4074004949308721,Medium Risk,Send personalized loyalty offer
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,No,25-48 Months,Low,0,0.03704261776912728,Low Risk,Maintain regular engagement
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,No,61-72 Months,Very High,0,0.2132942562732912,Low Risk,Maintain regular engagement
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,No,25-48 Months,Very High,1,0.7902766178161242,High Risk,Offer discounted annual contract
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,No,49-60 Months,High,1,0.5249268472393793,Medium Risk,Send personalized loyalty offer
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,No,61-72 Months,Medium,0,0.017611364481287993,Low Risk,Maintain regular engagement
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,No,13-24 Months,Medium,0,0.20575712355834444,Low Risk,Maintain regular engagement
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,No,0-12 Months,High,1,0.8862844576553904,High Risk,Offer discounted annual contract
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,No,0-12 Months,High,1,0.7035358709930642,High Risk,Offer discounted annual contract
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,No,25-48 Months,High,0,0.412673753736577,Medium Risk,Send personalized loyalty offer
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,No,25-48 Months,High,0,0.11646152720356431,Low Risk,Maintain regular engagement
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,No,49-60 Months,Low,0,0.012179913960667988,Low Risk,Maintain regular engagement
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,No,0-12 Months,High,1,0.6809880085070991,High Risk,Offer discounted annual contract
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,No,0-12 Months,Medium,1,0.5189747094865033,Medium Risk,Send personalized loyalty offer
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,No,49-60 Months,Low,0,0.04221036922463956,Low Risk,Maintain regular engagement
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,Yes,61-72 Months,Very High,0,0.16035306944325226,Low Risk,Maintain regular engagement
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,No,61-72 Months,Low,0,0.012628213697341274,Low Risk,Maintain regular engagement
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,No,0-12 Months,Medium,0,0.440555430958799,Medium Risk,Send personalized loyalty offer
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,Yes,49-60 Months,Very High,0,0.45591269845601334,Medium Risk,Send personalized loyalty offer
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,No,25-48 Months,Medium,0,0.15153007419841447,Low Risk,Maintain regular engagement
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0,No,0-12 Months,Medium,0,0.3388884746603025,Medium Risk,Send personalized loyalty offer
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,Yes,25-48 Months,High,1,0.5366331868743197,Medium Risk,Send personalized loyalty offer
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,No,25-48 Months,Low,0,0.05603496648038556,Low Risk,Maintain regular engagement
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,No,0-12 Months,High,1,0.8597829831145486,High Risk,Offer discounted annual contract
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,No,0-12 Months,Medium,1,0.6866589024392686,High Risk,Offer discounted annual contract
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,No,0-12 Months,High,1,0.7584819250474992,High Risk,Offer discounted annual contract
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,No,25-48 Months,Very High,1,0.5776538791964583,Medium Risk,Send personalized loyalty offer
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,No,49-60 Months,Low,0,0.02076740026703446,Low Risk,Maintain regular engagement
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,No,0-12 Months,High,1,0.8561558842086787,High Risk,Offer discounted annual contract
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,No,25-48 Months,Medium,0,0.1689023426261651,Low Risk,Maintain regular engagement
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,No,25-48 Months,Low,0,0.01378272348404317,Low Risk,Maintain regular engagement
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0,No,25-48 Months,Low,0,0.02028258052296575,Low Risk,Maintain regular engagement
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0,No,25-48 Months,Low,1,0.525980031089571,Medium Risk,Send personalized loyalty offer
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0,No,25-48 Months,High,0,0.4511091536569273,Medium Risk,Send personalized loyalty offer
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0,Yes,0-12 Months,High,1,0.7959757839814231,High Risk,Offer discounted annual contract
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0,No,61-72 Months,High,0,0.04949196858116236,Low Risk,Maintain regular engagement
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0,No,61-72 Months,Very High,1,0.5299621898966268,Medium Risk,Send personalized loyalty offer
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0,No,61-72 Months,Very High,0,0.23789508171292156,Low Risk,Maintain regular engagement
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,No,0-12 Months,High,1,0.7883746451229914,High Risk,Offer discounted annual contract
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,0,No,61-72 Months,Medium,0,0.030554322937957457,Low Risk,Maintain regular engagement
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,No,0-12 Months,Low,0,0.36519205714499103,Medium Risk,Send personalized loyalty offer
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0,No,49-60 Months,Low,0,0.014584073909365778,Low Risk,Maintain regular engagement
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,Yes,25-48 Months,High,1,0.8404920691129762,High Risk,Offer discounted annual contract
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,0,No,0-12 Months,Low,0,0.41179379048686293,Medium Risk,Send personalized loyalty offer
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,0,No,0-12 Months,Low,0,0.43933353657119345,Medium Risk,Send personalized loyalty offer
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,0,No,25-48 Months,High,0,0.37072625787839986,Medium Risk,Send personalized loyalty offer
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,0,Yes,61-72 Months,Medium,0,0.10731429721624496,Low Risk,Maintain regular engagement
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,No,61-72 Months,Very High,0,0.19319020109614968,Low Risk,Maintain regular engagement
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,0,No,0-12 Months,Low,1,0.7083611076093842,High Risk,Offer discounted annual contract
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,0,No,61-72 Months,Very High,0,0.2964371296411575,Low Risk,Maintain regular engagement
9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,0,No,25-48 Months,Low,0,0.18214421926149782,Low Risk,Maintain regular engagement
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,0,No,25-48 Months,High,0,0.49405882801287965,Medium Risk,Send personalized loyalty offer
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,0,No,61-72 Months,Low,0,0.004839440155716715,Low Risk,Maintain regular engagement
